query,networking,reasoning
q1.n3,123,5
q10.n3,121,6
q11.n3,121,3
q12.n3,121,1
q13.n3,121,11
q14.n3,121,5
q15.n3,121,8
q16.n3,121,10
q17.n3,121,15
q2.n3,122,4
q3.n3,121,9
q4.n3,121,6
q5.n3,121,9
q6.n3,121,11
q7.n3,121,11
q8.n3,121,12
q9.n3,121,5
avg:,121.1764706,
