query,networking,reasoning
q1.n3,3984,19
q10.n3,4002,23
q11.n3,4060,12
q12.n3,4095,6
q13.n3,4000,41
q14.n3,3996,44
q15.n3,3995,4181
q16.n3,4004,2623
q17.n3,3990,70
q2.n3,4005,1301
q3.n3,4006,788
q4.n3,4012,23
q5.n3,4000,2150
q6.n3,3990,41
q7.n3,3981,39
q8.n3,3981,52
q9.n3,4002,18
