query,networking,reasoning
q1.n3,57,1
q10.n3,55,1
q11.n3,56,1
q12.n3,59,1
q13.n3,56,4
q14.n3,56,1
q15.n3,59,3
q16.n3,60,4
q17.n3,56,6
q2.n3,57,2
q3.n3,56,2
q4.n3,57,2
q5.n3,56,3
q6.n3,56,3
q7.n3,56,4
q8.n3,56,4
q9.n3,55,1
