query,networking,reasoning
q1.n3,242,12
q10.n3,245,13
q11.n3,256,8
q12.n3,255,4
q13.n3,249,24
q14.n3,242,15
q15.n3,242,18
q16.n3,242,22
q17.n3,244,33
q2.n3,241,9
q3.n3,241,18
q4.n3,242,14
q5.n3,242,20
q6.n3,243,23
q7.n3,242,23
q8.n3,241,27
q9.n3,241,12
avg:,244.1176471,
