query,networking,reasoning
q1.n3,1983,9
q10.n3,2012,8
q11.n3,1983,4
q12.n3,1992,1
q13.n3,2000,18
q14.n3,1991,13
q15.n3,1965,846
q16.n3,1976,517
q17.n3,1998,28
q2.n3,1965,257
q3.n3,1978,174
q4.n3,1985,10
q5.n3,1971,430
q6.n3,1965,16
q7.n3,1981,16
q8.n3,1969,20
q9.n3,1999,7
