query,networking,reasoning
q1.n3,121,5
q10.n3,121,9
q11.n3,121,14
q12.n3,120,11
q13.n3,120,5
q14.n3,121,6
q15.n3,120,3
q16.n3,121,8
q17.n3,121,4
q18.n3,121,1
q19.n3,121,3
q2.n3,121,4
q20.n3,121,11
q21.n3,121,15
q22.n3,120,5
q23.n3,120,8
q24.n3,121,10
q25.n3,120,14
q3.n3,121,9
q4.n3,121,6
q5.n3,121,5
q6.n3,121,6
q7.n3,121,11
q8.n3,121,11
q9.n3,120,12
avg:,120.72,
