query,networking,reasoning
q1.n3,507,27
q10.n3,507,44
q11.n3,510,68
q12.n3,508,54
q13.n3,506,27
q14.n3,506,32
q15.n3,506,18
q16.n3,506,42
q17.n3,507,23
q18.n3,506,11
q19.n3,506,18
q2.n3,506,22
q20.n3,508,57
q21.n3,513,76
q22.n3,506,52
q23.n3,507,43
q24.n3,509,49
q25.n3,510,87
q3.n3,506,41
q4.n3,507,32
q5.n3,508,26
q6.n3,506,34
q7.n3,508,54
q8.n3,507,52
q9.n3,507,65
avg:,507.32,42.16
