query,networking,reasoning
q23.n3,3878,5378
q25.n3,3985,2727
q5.n3,3939,2382
q2.n3,3901,1510
q22.n3,4060,1454
q3.n3,3967,847
q9.n3,3863,50
q21.n3,4028,43
q7.n3,3879,37
q8.n3,3847,36
q14.n3,3953,24
q4.n3,3922,22
q13.n3,3892,19
q16.n3,3874,10
q1.n3,3834,6
q20.n3,3964,4
