query,networking,reasoning
q26.n3,961,447
q23.n3,957,200
q5.n3,958,104
q2.n3,966,62
q3.n3,956,48
q22.n3,954,44
q25.n3,957,13
q9.n3,953,10
q21.n3,955,8
q8.n3,956,8
q7.n3,950,7
q1.n3,970,4
q14.n3,963,4
q4.n3,951,4
q13.n3,962,3
q16.n3,953,2
q20.n3,957,1
