query,networking,reasoning
q26.n3,4161,37516
q23.n3,4063,4521
q5.n3,4013,2191
q22.n3,4041,1415
q2.n3,4035,1319
q3.n3,4097,833
q25.n3,4012,73
q9.n3,4016,52
q21.n3,4028,41
q7.n3,3992,39
q8.n3,4041,37
q14.n3,4206,23
q4.n3,4076,22
q13.n3,4148,20
q1.n3,4067,19
q16.n3,4094,12
q20.n3,4074,5
