query,networking,reasoning
q26.n3,2002,3907
q23.n3,1999,874
q5.n3,1995,433
q2.n3,1976,259
q22.n3,2002,192
q3.n3,1977,175
q25.n3,2009,29
q9.n3,1970,21
q21.n3,2021,20
q7.n3,1991,17
q8.n3,1991,17
q14.n3,2019,10
q4.n3,1986,9
q1.n3,1973,8
q13.n3,1971,7
q16.n3,2040,6
q20.n3,2014,2
